file,line,component,decorator,has_oncontextmenu,has_ontouchstart,prevent_default_count
crates/core/src/ui/account/common/channel_context_menu.rs,27,ChannelContextMenu,inherit,1,0,1
crates/core/src/ui/account/common/channel_context_menu.rs,110,ChannelMenuItem,inherit,0,0,0
crates/core/src/ui/account/common/voice_account_footer.rs,7,VoiceAccountFooter,inherit,0,0,0
crates/core/src/ui/account/common/media_viewer.rs,23,MessageMediaViewerOverlay,allow_default,1,0,0
crates/core/src/ui/account/common/voice_bar.rs,110,VoiceBar,None,0,0,0
crates/core/src/ui/account/common/voice_bar.rs,150,VoiceDockInfo,inherit,0,0,0
crates/core/src/ui/account/common/voice_bar.rs,174,VoiceDockParticipants,inherit,0,0,0
crates/core/src/ui/account/common/voice_bar.rs,188,VoiceDockTile,inherit,0,0,0
crates/core/src/ui/account/common/voice_bar.rs,237,VoiceDockControls,inherit,0,0,0
crates/core/src/ui/account/common/voice_bar.rs,386,VoiceLatencyBar,inherit,0,0,0
crates/core/src/ui/account/common/voice_bar.rs,434,VoicePreviewPanel,inherit,0,0,0
crates/core/src/ui/account/common/forum_view.rs,188,ForumView,None,0,0,0
crates/core/src/ui/account/common/forum_view.rs,202,HnFeedView,None,0,0,0
crates/core/src/ui/account/common/forum_view.rs,365,LemmyForumView,None,0,0,0
crates/core/src/ui/account/common/forum_view.rs,548,ForumPostView,None,0,0,0
crates/core/src/ui/account/common/forum_view.rs,656,ForumPostCard,inherit,0,0,0
crates/core/src/ui/account/common/forum_view.rs,712,ForumThreadView,None,0,0,0
crates/core/src/ui/account/common/forum_view.rs,781,ForumComment,inherit,0,0,0
crates/core/src/ui/account/common/voice_view.rs,240,VoiceChannelView,None,0,0,0
crates/core/src/ui/account/common/voice_view.rs,324,VoiceHeader,inherit,0,0,0
crates/core/src/ui/account/common/voice_view.rs,358,VoiceScreenShareArea,inherit,0,0,0
crates/core/src/ui/account/common/voice_view.rs,411,VoiceParticipantGrid,inherit,0,0,0
crates/core/src/ui/account/common/voice_view.rs,445,VoiceTile,inherit,0,0,0
crates/core/src/ui/account/common/voice_view.rs,532,VoiceJoinButton,inherit,0,0,0
crates/core/src/ui/account/common/voice_view.rs,575,VoiceChatBar,inherit,0,0,0
crates/core/src/ui/account/common/chat_view.rs,876,ChatView,None,0,0,0
crates/core/src/ui/account/common/chat_view.rs,2512,HeaderOverflowItem,inherit,0,0,0
crates/core/src/ui/account/common/chat_view.rs,2537,ChatHeaderActions,inherit,0,0,0
crates/core/src/ui/account/common/chat_view.rs,4632,ChatUtilityRail,None,0,0,0
crates/core/src/ui/account/common/chat_view.rs,4801,ChatSettingsPanel,None,0,0,0
crates/core/src/ui/account/common/chat_view.rs,4904,SearchFilterPopup,None,0,0,0
crates/core/src/ui/account/common/chat_view.rs,4935,SearchFilterRow,inherit,0,0,0
crates/core/src/ui/account/common/chat_view.rs,4960,SearchResultCard,inherit,0,0,0
crates/core/src/ui/account/common/chat_view.rs,5014,PinnedMessageCard,inherit,0,0,0
crates/core/src/ui/account/common/chat_view.rs,5062,SearchPreviewText,inherit,0,0,0
crates/core/src/ui/account/common/chat_view.rs,5139,MessageContentView,inherit,0,0,0
crates/core/src/ui/account/common/chat_view.rs,5170,AttachmentsView,allow_default,1,0,0
crates/core/src/ui/account/common/chat_view.rs,5256,ReactionsView,inherit,0,0,0
crates/core/src/ui/account/common/chat_view.rs,5305,TypingIndicator,None,0,0,0
crates/core/src/ui/account/common/chat_view.rs,5451,MessageInlineEdit,allow_default,1,0,1
crates/core/src/ui/account/common/chat_view.rs,5517,MsgContextMenuOverlay,None,1,0,1
crates/core/src/ui/account/common/chat_view.rs,5701,ContextMenuItemSimple,inherit,0,0,0
crates/core/src/ui/account/common/chat_view.rs,5730,MessageReplyPreviewLine,inherit,0,0,0
crates/core/src/ui/account/common/chat_view.rs,5744,ReplyComposerBar,None,0,0,0
crates/core/src/ui/account/common/chat_view.rs,5770,SlashCommandPopup,None,0,0,0
crates/core/src/ui/account/common/chat_view.rs,5821,DmContactListPanel,None,0,0,0
crates/core/src/ui/account/common/chat_view.rs,5868,DmContactRow,inherit,0,0,0
crates/core/src/ui/account/common/direct_call_overlay.rs,20,OutgoingDirectCallOverlay,None,0,0,0
crates/core/src/ui/account/common/media_picker.rs,119,SidebarIcon,inherit,0,0,0
crates/core/src/ui/account/common/media_picker.rs,156,EmojiSectionBlock,inherit,0,0,0
crates/core/src/ui/account/common/media_picker.rs,214,EmojiTabContent,inherit,0,0,0
crates/core/src/ui/account/common/media_picker.rs,344,PlaceholderTabContent,inherit,0,0,0
crates/core/src/ui/account/common/media_picker.rs,356,MediaPickerFooter,inherit,0,0,0
crates/core/src/ui/account/common/media_picker.rs,383,MediaPickerPopup,None,0,0,0
crates/core/src/ui/account/common/emoji_picker.rs,336,EmojiPicker,None,0,0,0
crates/core/src/ui/account/common/user_profile_modal.rs,78,UserProfileModal,None,0,0,0
crates/core/src/ui/account/common/user_profile_modal.rs,326,NoteEditor,inherit,0,0,0
crates/core/src/ui/account/common/user_sidebar.rs,71,HighlightedName,inherit,0,0,0
crates/core/src/ui/account/common/user_sidebar.rs,103,UserSidebar,None,0,0,0
crates/core/src/ui/account/common/user_sidebar.rs,233,UserGroup,inherit,0,0,0
crates/core/src/ui/account/common/account_bar.rs,120,AccountBarUserInfo,inherit,0,0,0
crates/core/src/ui/account/common/account_bar.rs,207,AccountProfilePopup,None,0,0,0
crates/core/src/ui/account/common/account_bar.rs,301,AccountBarControls,inherit,0,0,0
crates/core/src/ui/account/common/account_bar.rs,373,AccountBar,None,0,0,0
crates/core/src/ui/account/common/unsupported_placeholder.rs,55,FeatureUnsupportedPlaceholder,None,0,0,0
crates/core/src/ui/account/common/saved_items_view.rs,48,HighlightedSavedText,inherit,0,0,0
crates/core/src/ui/account/common/saved_items_view.rs,103,SavedItemsView,None,0,0,0
crates/core/src/ui/account/common/saved_items_view.rs,339,SidebarSourceButton,inherit,0,0,0
crates/core/src/ui/account/common/saved_items_view.rs,364,SavedPinnedItemCard,inherit,0,0,0
crates/core/src/ui/account/common/new_conversation_view.rs,16,NewConversationView,None,0,0,0
crates/core/src/ui/account/common/friends_panel.rs,23,FriendsPanel,None,0,0,0
crates/core/src/ui/account/common/friends_panel.rs,127,SidebarMenuButton,inherit,0,0,0
crates/core/src/ui/account/common/friends_panel.rs,146,FriendsFilterBar,inherit,0,0,0
crates/core/src/ui/account/common/friends_panel.rs,178,FriendsGrid,inherit,0,0,0
crates/core/src/ui/account/common/friends_panel.rs,246,BlockedUsersGrid,inherit,0,0,0
crates/core/src/ui/account/common/friends_panel.rs,281,IgnoredUsersPlaceholder,inherit,0,0,0
crates/core/src/ui/account/common/dm_user_sidebar.rs,41,DmUserSidebar,None,0,0,0
crates/core/src/ui/account/common/dm_user_sidebar.rs,93,DmMemberRow,inherit,0,0,0
crates/core/src/ui/account/common/account_server_bar.rs,128,AccountServerBar,None,0,0,0
crates/core/src/ui/account/common/account_server_bar.rs,251,AccountServerIcon,inherit,1,0,3
